Municipio,Cod_Municipio,Provincia,Cod_Provincia,Población,Longitud,Latitud,CoordenadaX,CoordenadaY,Posición,presencia_de_comercio,Tiene_Hospital,Transplantes,Dificultad_Acceso,Accidentes_Raw,Accidentes_Por_Carretera,tiene_centro,DENSIDADMM,4G
VILLAGATÓN,210,LEÓN,24,636,-6.161846,42.634792,240751.0,4725108.07,"42.634792, -6.161846",0,0,0,0.19,0.4156398104265405,0.0012,1,0.001023174756,1.0
VILLAMANÍN,901,LEÓN,24,876,-5.655952,42.937028,283291.04,4757244.69,"42.937028, -5.655952",0,0,0,0.8,0.4156398104265405,0.0012,1,0.001333023292,0.9385
VILLAMAÑÁN,212,LEÓN,24,1076,-5.585622,42.321792,286940.32,4688743.45,"42.321792, -5.585622",0,0,0,0.15,8.015639810426531,0.0244,1,0.005008856699,1.0
VILLAMARTÍN DE DON SANCHO,213,LEÓN,24,144,-5.061023,42.570625,330841.27,4715193.9,"42.570625, -5.061023",0,0,0,0.17,0.4156398104265405,0.0012,1,0.001342067342,1.0
VILLAMOL,215,LEÓN,24,136,-5.04907,42.428552,331440.97,4699393.67,"42.428552, -5.04907",0,0,0,0.19,0.4156398104265405,0.0012,1,0.0008650816568,1.0
VILLAORNATE Y CASTRO,902,LEÓN,24,337,-5.549757,42.184812,289440.39,4673443.26,"42.184812, -5.549757",0,0,0,0.19,0.4156398104265405,0.0012,0,0.001899643708,1.0
VILLAQUILAMBRE,222,LEÓN,24,18647,-5.55877,42.646313,290240.78,4724713.98,"42.646313, -5.55877",0,0,0,0.08,0.4156398104265405,0.0012,0,0.09780547933,1.0
VILLAREJO DE ÓRBIGO,223,LEÓN,24,2873,-5.903779,42.445197,261190.21,4703293.75,"42.445197, -5.903779",0,0,0,0.15,0.4156398104265405,0.0012,1,0.02198471027,1.0
VILLASABARIEGO,225,LEÓN,24,1148,-5.414738,42.533365,301690.69,4711823.78,"42.533365, -5.414738",0,0,0,0.11,0.4156398104265405,0.0012,1,0.005083009771,0.9999
VILLASELÁN,226,LEÓN,24,180,-5.047914,42.560954,331891.25,4714093.87,"42.560954, -5.047914",0,0,0,0.18,0.4156398104265405,0.0012,1,0.0008158784292,0.9495
ZOTES DEL PÁRAMO,230,LEÓN,24,402,-5.73638,42.272364,274340.21,4683643.4,"42.272364, -5.73638",0,0,0,0.17,0.4156398104265405,0.0012,1,0.002014470849,1.0
AGUILAR DE CAMPOO,4,PALENCIA,34,6823,-4.259938,42.792646,396959.22,4738558.62,"42.792646, -4.259938",0,0,0,0.29,322.15916230366497,0.9837,1,0.007799162111,0.9936
ALBA DE CERRATO,6,PALENCIA,34,82,-4.365933,41.812498,386543.96,4629860.16,"41.812498, -4.365933",0,0,0,0.13,0.1591623036649214,0.0004,1,0.0005758295356,0.7634000000000001
AMUSCO,11,PALENCIA,34,410,-4.470261,42.173116,378565.75,4670043.51,"42.173116, -4.470261",0,0,0,0.12,2.50916230366492,0.0076,1,0.00140649596,0.9995
AUTILLA DEL PINO,18,PALENCIA,34,219,-4.633994,41.991182,364655.86,4650088.48,"41.991182, -4.633994",0,0,0,0.09,0.1591623036649214,0.0004,1,0.001604557839,0.9968
BALTANÁS,22,PALENCIA,34,1228,-4.246125,41.939332,396700.03,4643791.21,"41.939332, -4.246125",0,0,0,0.13,5.625828970331583,0.0171,1,0.002032660522,0.9524
BÁRCENA DE CAMPOS,25,PALENCIA,34,53,-4.49966,42.48339,376744.86,4704538.22,"42.48339, -4.49966",0,0,0,0.2,0.1591623036649214,0.0004,1,0.0009565825113,0.8940000000000001
CALAHORRA DE BOEDO,41,PALENCIA,34,83,-4.386044,42.57537,386250.0,4714593.03,"42.57537, -4.386044",0,0,0,0.23,0.1591623036649214,0.0004,1,0.001264560528,1.0
CAPILLAS,45,PALENCIA,34,72,-4.890722,42.013637,343445.35,4653019.5,"42.013637, -4.890722",0,0,0,0.14,0.1591623036649214,0.0004,1,0.001003806531,0.584
CONGOSTO DE VALDAVIA,62,PALENCIA,34,140,-4.634857,42.714604,366128.95,4730418.64,"42.714604, -4.634857",0,0,0,0.27,0.1591623036649214,0.0004,1,0.0004980103602,0.9221
ESPINOSA DE VILLAGONZALO,71,PALENCIA,34,154,-4.370744,42.481354,387336.86,4704132.88,"42.481354, -4.370744",0,0,0,0.21,0.1591623036649214,0.0004,1,0.001142154662,1.0
FUENTES DE NAVA,76,PALENCIA,34,567,-4.781862,42.083259,352620.46,4660556.59,"42.083259, -4.781862",0,0,0,0.13,4.259162303664919,0.0129,1,0.00262909464,1.0
GUARDO,80,PALENCIA,34,5548,-4.84151,42.788941,349386.79,4739021.99,"42.788941, -4.84151",0,0,0,0.3,68.6591623036649,0.2096,1,0.02466410609,0.9984
GUAZA DE CAMPOS,81,PALENCIA,34,55,-4.90823,42.135731,342298.23,4666608.6,"42.135731, -4.90823",0,0,0,0.16,2.659162303664917,0.008,1,0.0004201761358,1.0
