AÑO;NOMBRE;T.RED;DESCRIPCIÓN;LONG.;IMD;ASV;ACV;MUERTOS;HERIDOS;IM;IP;IAT;IL;IG
2023;LE-311;CP;DE LEÓN A ROBLES DE LA VALCUEVA;25.4;2535.4094488188975;28.0;3.0;0.0;6.0;0.0;12.762817793631276;131.88245053418987;0.0;0.0
2023;LE-441;CP;DE SAN ANDRÉS EL RABANEDO A CRUCE CON LE-413 (VILLANUEVA DE CARRIZO);20.22;2258.669139465875;50.0;3.0;1.0;2.0;5.9989240869660785;17.996772260898236;317.94297660920216;33.33333333333333;33.33333333333333
2023;P-211;CL;DE CRUCE CON P-210 A RESOBA;4.68;160.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;P-212;CL;DE CRUCE CON P-210 A REBANAL DE LAS LLANTAS;3.95;160.0;0.0;1.0;0.0;1.0;0.0;433.5009537020982;433.5009537020982;0.0;0.0
2023;P-216;CL;DE TRIOLLO (P-210) A VIDRIEROS;2.498;160.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;P-944;CL;DE FRECHILLA (P-924) A CRUCE CON P-953;6.391;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;SA-201;CP;DE TAMAMES (SA-215) A LÍMITE DE C.A. DE EXTREMADURA;37.375;758.5137123745819;29.0;3.0;1.0;2.0;9.66412409199212;28.99237227597636;309.25197094374784;33.33333333333333;33.33333333333333
2023;SA-213;CL;DE TAMAMES (SA-215) A A-62 POR BOCACARA;29.5;220.0;8.0;0.0;0.0;0.0;0.0;0.0;337.71661354665764;0.0;0.0
2023;SA-804;CL;DE SALAMANCA A CANTALPINO, CRUCE CON SA-801;28.12;1653.4091394025602;7.0;3.0;0.0;3.0;0.0;17.67798414305152;58.92661381017174;0.0;0.0
2023;SG-223;CP;DE CUÉLLAR (CL-601) A LÍMITE DE PROVINCIA DE VALLADOLID;7.715;1784.0;3.0;0.0;0.0;0.0;0.0;0.0;59.71694882858636;0.0;0.0
2023;SG-911;CL;DE CRUCE CON N-I A CRUCE CON N-110;8.2;809.0;11.0;0.0;0.0;0.0;0.0;0.0;454.2944662391067;0.0;0.0
2023;VA-405;CP;DE TORDESILLAS A OLMEDO;37.86;680.1376122556787;20.0;1.0;1.0;1.0;10.639708595830683;10.639708595830683;223.43388051244435;50.0;100.0
2023;VA-410;CP;DE OLMEDO (CL-112) A ATAQUINES (N-VI);16.535;748.0;9.0;1.0;0.0;1.0;0.0;22.151408108527367;221.51408108527366;0.0;0.0
2023;VA-510;CL;DE LA MUDARRA (N-601) A CASTROMONTE (VA-515);8.2;811.0;2.0;3.0;0.0;6.0;0.0;123.59294580902501;205.98824301504166;0.0;0.0
2023;VA-905;CP;DE MEDINA DE RIOSECO (N-601) A LÍMITE DE PROVINCIA DE PALENCIA;28.5;816.922807017544;6.0;1.0;0.0;1.0;0.0;11.767420003166613;82.37194002216629;0.0;0.0
2023;VA-931;CL;DE BECILLA DE VALDERADUEY (N-601) A LÍMITE DE PROVINCIA DE PALENCIA;24.5;199.42857142857142;1.0;2.0;0.0;2.0;0.0;112.14596919350227;168.2189537902534;0.0;0.0
2023;ZA-302;CP;DE EL CUBO DE LA TIERRA DEL VINO (N-630) A CRUCE CON CL-527 (BERMILLO DE SAYAGO);37.159;422.46989962054954;10.0;1.0;0.0;3.0;0.0;17.452086063423145;191.9729466976546;0.0;0.0
2023;ZA-321;CL;DE CRUCE CON N-122 A MORALINA;17.063;211.0;2.0;0.0;0.0;0.0;0.0;0.0;152.19461457149515;0.0;0.0
